time	V(v_cuad)	V(v_triag)
7.474507739829761e-06	3.175267e+00	2.016088e+00
7.476256341011841e-06	3.265323e+00	2.025884e+00
7.478627316582353e-06	3.259628e+00	2.019630e+00
7.482466331123443e-06	3.254652e+00	2.013962e+00
7.486480635537906e-06	3.251331e+00	2.010017e+00
7.494509244366832e-06	3.250337e+00	2.007989e+00
7.510566462024684e-06	3.255108e+00	2.011189e+00
7.534576372156773e-06	3.266354e+00	2.020730e+00
7.575465332725397e-06	3.287400e+00	2.039479e+00
7.633268360797561e-06	3.319514e+00	2.068606e+00
7.700218204088173e-06	3.356877e+00	2.102435e+00
7.783280315076264e-06	3.403473e+00	2.144482e+00
7.883280315076265e-06	3.459109e+00	2.194365e+00
7.983280315076265e-06	3.514755e+00	2.243914e+00
8.083280315076266e-06	3.569947e+00	2.292579e+00
8.183280315076267e-06	3.625113e+00	2.340672e+00
8.283280315076268e-06	3.679799e+00	2.387535e+00
8.383280315076268e-06	3.734351e+00	2.433171e+00
8.483280315076269e-06	3.788259e+00	2.476370e+00
8.583280315076270e-06	3.841599e+00	2.515542e+00
8.683280315076270e-06	3.892839e+00	2.542731e+00
8.783280315076271e-06	3.916933e+00	2.394255e+00
8.883280315076272e-06	3.916398e+00	2.087564e+00
8.946667319801162e-06	3.950882e+00	2.115960e+00
8.991840941805958e-06	3.978261e+00	2.152805e+00
9.012023208806482e-06	3.988629e+00	2.156533e+00
9.030971166477354e-06	3.997646e+00	2.156448e+00
9.058302614282916e-06	4.010112e+00	2.152050e+00
9.083799412747586e-06	4.021644e+00	2.147803e+00
9.111681303537083e-06	4.034309e+00	2.143132e+00
9.140126174261545e-06	4.047456e+00	2.140272e+00
9.175389127350399e-06	4.063876e+00	2.137008e+00
9.226175056985815e-06	4.087702e+00	2.133867e+00
9.279349257943605e-06	4.112579e+00	2.129696e+00
9.334872205133710e-06	4.138543e+00	2.125654e+00
9.414100610305735e-06	4.175507e+00	2.118732e+00
9.514100610305735e-06	4.222206e+00	2.110499e+00
9.614100610305736e-06	4.268805e+00	2.101210e+00
9.714100610305737e-06	4.315422e+00	2.092181e+00
9.814100610305737e-06	4.361989e+00	2.082090e+00
9.914100610305738e-06	4.408643e+00	2.072296e+00
1.001410061030574e-05	4.455388e+00	2.061483e+00
1.011410061030574e-05	4.502644e+00	2.051056e+00
1.021410061030574e-05	4.551579e+00	2.039954e+00
1.031410061030574e-05	4.602788e+00	2.029942e+00
1.041410061030574e-05	4.657046e+00	2.020138e+00
1.051410061030574e-05	4.709627e+00	2.011419e+00
1.061410061030574e-05	4.760250e+00	2.001178e+00
1.071410061030574e-05	4.808871e+00	1.989715e+00
1.081410061030574e-05	4.854313e+00	1.975689e+00
1.091410061030575e-05	4.743450e+00	1.939996e+00
1.100994680578742e-05	4.606164e+00	1.859831e+00
1.102244680578742e-05	4.601521e+00	1.845839e+00
1.104744680578742e-05	4.594168e+00	1.817507e+00
1.109744680578742e-05	4.588429e+00	1.767189e+00
1.109761850762868e-05	4.588436e+00	1.767040e+00
1.109796191131121e-05	4.588457e+00	1.766743e+00
1.109864871867628e-05	4.588434e+00	1.766151e+00
1.109882042051754e-05	4.327236e+00	1.762456e+00
1.109886334597786e-05	3.783110e+00	1.758581e+00
1.109894919689849e-05	2.590430e+00	1.745826e+00
1.109912089873975e-05	3.348054e-01	1.706333e+00
1.109913212130393e-05	3.281614e-01	1.703673e+00
1.109914708472283e-05	3.209167e-01	1.700582e+00
1.109917701156064e-05	3.100573e-01	1.695802e+00
1.109923686523625e-05	3.051093e-01	1.690275e+00
1.109935657258747e-05	3.042569e-01	1.686864e+00
1.109959598728991e-05	3.035365e-01	1.686555e+00
1.110007481669479e-05	3.028919e-01	1.686412e+00
1.110103247550456e-05	3.025718e-01	1.685974e+00
1.110294779312409e-05	3.026989e-01	1.685336e+00
1.110578557451728e-05	3.028472e-01	1.684509e+00
1.111146113730367e-05	3.027342e-01	1.683570e+00
1.112068372296874e-05	3.025553e-01	1.683328e+00
1.113418582619628e-05	3.025224e-01	1.685229e+00
1.115367305730994e-05	3.025168e-01	1.691111e+00
1.115677067160341e-05	3.025242e-01	1.692397e+00
1.116296590019036e-05	3.025434e-01	1.695101e+00
1.116451470733710e-05	3.025492e-01	1.695824e+00
1.116761232163057e-05	3.025663e-01	1.697308e+00
1.116838672520394e-05	3.025726e-01	1.697690e+00
1.116993553235067e-05	3.025895e-01	1.698465e+00
1.117032273413736e-05	3.025955e-01	1.698661e+00
1.117109713771072e-05	3.026103e-01	1.699056e+00
1.117264594485746e-05	3.026815e-01	1.699858e+00
1.117303314664414e-05	3.027295e-01	1.700061e+00
1.117312994709082e-05	3.027440e-01	1.700112e+00
1.117332354798416e-05	3.027793e-01	1.700215e+00
1.117371074977084e-05	3.028608e-01	1.700420e+00
1.117380755021751e-05	3.029368e-01	1.700472e+00
1.117400115111085e-05	3.031402e-01	1.700578e+00
1.117438835289754e-05	3.033941e-01	1.700789e+00
1.117516275647091e-05	3.033225e-01	1.701205e+00
1.117671156361764e-05	3.029279e-01	1.702041e+00
1.117883718696255e-05	3.027139e-01	1.703219e+00
1.118294203070812e-05	3.026567e-01	1.705580e+00
1.118901528157164e-05	3.026691e-01	1.709262e+00
1.120116178329869e-05	3.026865e-01	1.717186e+00
1.122545478675277e-05	3.027157e-01	1.734277e+00
1.125838998486915e-05	3.027499e-01	1.756719e+00
