time	V(pwm)	V(v_triag)	V(vmed)	V(n003)
4.722060536351048e-06	1.089400e+00	1.436285e+00	1.436084e+00	1.435676e+00
4.822060536351048e-06	1.089400e+00	1.436286e+00	1.436084e+00	1.435676e+00
4.922060536351048e-06	1.089400e+00	1.436286e+00	1.436084e+00	1.435676e+00
5.022060536351047e-06	1.089400e+00	1.436286e+00	1.436085e+00	1.435676e+00
5.122060536351047e-06	1.089400e+00	1.436287e+00	1.436085e+00	1.435676e+00
5.222060536351047e-06	1.089400e+00	1.436287e+00	1.436086e+00	1.435676e+00
5.322060536351047e-06	1.089400e+00	1.436288e+00	1.436086e+00	1.435676e+00
5.422060536351047e-06	1.089401e+00	1.436289e+00	1.436087e+00	1.435677e+00
5.522060536351047e-06	1.089401e+00	1.436290e+00	1.436088e+00	1.435677e+00
5.622060536351047e-06	1.089401e+00	1.436291e+00	1.436089e+00	1.435678e+00
5.722060536351047e-06	1.089402e+00	1.436294e+00	1.436091e+00	1.435681e+00
5.822060536351047e-06	1.089405e+00	1.436304e+00	1.436097e+00	1.435690e+00
5.922060536351046e-06	1.089426e+00	1.436376e+00	1.436138e+00	1.435760e+00
6.022060536351046e-06	1.089594e+00	1.436941e+00	1.436454e+00	1.436312e+00
6.122060536351046e-06	1.090460e+00	1.439859e+00	1.438182e+00	1.439154e+00
6.222060536351046e-06	1.092951e+00	1.448281e+00	1.443801e+00	1.447308e+00
6.322060536351046e-06	1.097716e+00	1.464558e+00	1.455985e+00	1.462749e+00
6.422060536351046e-06	1.104532e+00	1.488601e+00	1.475624e+00	1.484159e+00
6.522060536351046e-06	1.111999e+00	1.517477e+00	1.500502e+00	1.505234e+00
6.622060536351046e-06	1.118809e+00	1.550549e+00	1.527064e+00	1.518689e+00
6.722060536351046e-06	1.124742e+00	1.591990e+00	1.553653e+00	1.523162e+00
6.822060536351045e-06	1.129920e+00	1.641364e+00	1.580121e+00	1.523973e+00
6.922060536351045e-06	1.133105e+00	1.693376e+00	1.606457e+00	1.524144e+00
7.022060536351045e-06	1.126845e+00	1.745545e+00	1.632685e+00	1.524248e+00
7.122060536351045e-06	1.077680e+00	1.797189e+00	1.658714e+00	1.524367e+00
7.222060536351045e-06	8.811280e-01	1.847171e+00	1.684212e+00	1.524513e+00
7.322060536351045e-06	3.967912e-01	1.894681e+00	1.708714e+00	1.524685e+00
